deck,commander,power,played,won,draw,lost,type,W,U,B,R,G,identity,artist,plane,moxfield,themes,location
Last One Standing,Kels,mid,0,0,0,0,LGS,FALSE,TRUE,TRUE,FALSE,FALSE,Dimir,Magali Villeneuve,Kylem,17p7XVRVX0i9DjcRujw1oQ,sacrifice,Brighton
Transmission Parameters,Zimone and Dina,mid,0,0,0,0,LGS,FALSE,TRUE,TRUE,FALSE,TRUE,Sultai,Anato Finnstark,Arcavios&Arcavios,3SD2dXC_MES5wUsKzdAz5w,sacrifice&graveyard,Brighton
The Way,Elsha,mid,0,0,0,0,Unfinished,TRUE,TRUE,FALSE,TRUE,FALSE,Jeskai,Irina Nordsol,Tarkir,XUi8MqYf2EOGqpfximWOKw,prowess,Brighton
Flying Snakes,Eutropia,mid,0,0,0,0,Unfinished,FALSE,TRUE,FALSE,FALSE,TRUE,Simic,Sara Winters,Theros,SKvQZ_Mqt0qvAG6AQokl3Q,enchantress,Brighton
Stalled Engine,Greasefang,mid,0,0,0,0,Unfinished,TRUE,FALSE,TRUE,FALSE,FALSE,Orzhov,Victor Adame Minguez,Kamigawa,ArPDmiDmm0uAQPRVD90Tsg,vehicles,Brighton
Spice Up Your Life,The Toymaker,mid,0,0,0,0,Unfinished,TRUE,TRUE,TRUE,FALSE,FALSE,Esper,Jake Murray,Gallifrey,3iGAfEFzQUuVPPTDTd39WA,sphinx&choices,Ennepetal
Between Two Worlds,Ravos&Ramirez,mid,0,0,0,0,Unfinished,TRUE,TRUE,TRUE,FALSE,FALSE,Esper,Zezhou Chen&Grzegorz Rutkowski,Theros&Dominaria,TKKO5NSli0WlRsqRv_Rk4w,spirits,Brighton
What We Do In The Shadows,Minthara,mid,0,0,0,0,Unfinished,TRUE,FALSE,TRUE,FALSE,FALSE,Orzhov,Evyn Fong,Forgotten Realms,G6FClq4jLkW20VcZ8Azo9w,demons&clerics,Brighton
Heart of the Cards,Sheldon,mid,0,0,0,0,Unfinished,TRUE,TRUE,FALSE,FALSE,TRUE,Jeskai,Livia Prima,Ir,ZKRjiYR1OU2QXAJdqZK1GA,giants&combat,Brighton
Headhunters,Saskia,mid,0,0,0,0,Unfinished,TRUE,FALSE,TRUE,TRUE,TRUE,Aggression,Greg Opalinski,Unknown,LvSC72E8hEStoQ2b7UBC6w,chaos&combat,Brighton
Demilitarisation,Kynaios&Tiro,mid,0,0,0,0,Unfinished,TRUE,TRUE,FALSE,TRUE,TRUE,Altruism,Willian Murai,Theros&Theros,3OTijZXnaEWIBzSncwysRw,soldiers,Ennepetal
Tapajos Jungle,Kaseto,mid,0,0,0,0,Unfinished,FALSE,TRUE,FALSE,FALSE,TRUE,Simic,Aaron Miller,Kamigawa,OuB9Zt9n4kmLE-yCVrfmKg,snakes,Brighton
Desecrated,Yarok,mid,0,0,0,0,Unfinished,FALSE,TRUE,TRUE,FALSE,TRUE,Sultai,Jessica Rossier,Zendikar,x_kS9RTez0yyccIMyD22Yg,landfall&etb,Brighton
Postmortem Valor,Aryel,mid,0,0,0,0,Unfinished,TRUE,FALSE,TRUE,FALSE,FALSE,Orzhov,Grzegorz Rutkowski,Dominaria,ACn-LbtdDUGFROCaNdMrnA,knights,Brighton
Renfield's Keeper,Torens,mid,0,0,0,0,Unfinished,TRUE,FALSE,FALSE,FALSE,TRUE,Selesnya,Greg Staples,Innistrad,LcxznChE8kSkRATYm8-Cog,tokens,Brighton
Beast Mode,Gahiji,mid,0,0,0,0,Unfinished,TRUE,FALSE,FALSE,TRUE,TRUE,Naya,Brynn Metheney,Unknown,9s5-Zb5KsEu5UnrCyVrtHw,beasts,Brighton
3D Chess,Marchesa,mid,0,0,0,0,Unfinished,TRUE,FALSE,TRUE,TRUE,FALSE,Mardu,Peter Diamond,Fiora,MRTEe6guXUaHQcWSh_28ig,combat&monarch&Nazgul,Brighton
Baby's Got Back,Ikra&Sidar,mid,0,0,0,0,Unfinished,TRUE,FALSE,TRUE,FALSE,TRUE,Abzan,Alexander Lee&Josu Hernaiz,Dominaria&Tarkir,xFaSqWyTwU2I0VtCIYPUOw,toughness,Brighton
Mist Over Moors,Uril,mid,0,0,0,0,Unfinished,TRUE,FALSE,FALSE,TRUE,TRUE,Naya,Jaime Jones,Alara,ia8eO3Q8S0m_FBocTezI0g,enchantress,Brighton
Gender is a Construct,Gonti,mid,0,0,0,0,Unfinished,FALSE,TRUE,TRUE,FALSE,TRUE,Sultai,Anna Podedworna,Avishkar,vVfdRvRKQkSdRsyOFcKjiA,aetherborn&energy,Ennepetal
Jolly Ol' Gremlins,The Jolly Balloon Man,mid,0,0,0,0,Unfinished,TRUE,FALSE,FALSE,TRUE,FALSE,Boros,Campbell White,Duskmourn,QPz8H0ZNHkizzprMo17u6w,gremlins&energy,Brighton
Dragon Fodder,Nogi,mid,0,0,0,0,Unfinished,FALSE,FALSE,FALSE,TRUE,FALSE,Red,Dmitry Burmak,Unknown,m6nBhMb8FEKLZ-3DRKcznA,goblins&dragons,Brighton
Challenger,Mr Orfeo,low,1,1,0,0,Other,FALSE,FALSE,TRUE,TRUE,TRUE,Jund,Daarken,New Capenna,Xxj8-qsrokCAOehiXH-efQ,pauper&poison,Ennepetal
Ankle Shanker,Vial Smasher,low,0,0,0,0,Unfinished,FALSE,FALSE,TRUE,TRUE,FALSE,Rakdos,Borja Pindado,Tarkir,nC7UEqFsMEmU_Lj42jUSxQ,goblins&outlaws,Ennepetal
Backup Restoration,Teval,high,0,0,0,0,Unfinished,F,T,T,F,T,Sultai,Alexander Ostrowski,Tarkir,YIvZIsONxUGbFD-_hEkk-Q,graveyard&lifelink,Brighton
Trash Panda Storage Area,Bello,high,3,2,1,0,LGS,F,F,F,T,T,Gruul,Slawomir Maniak,Bloomburrow,rxcJx1Ip7UyNbkJZnAcQyw,echantress&animator,Brighton
Vampyrum Spectrum,Zoraline,mid,0,0,0,0,LGS,T,F,T,F,F,Orzhov,Justin Gerard,Bloomburrow,gp6qJC_O3UGVUyBipOARxg,bats&superfriends,Brighton
Cassandra,Helga,mid,0,0,0,0,Unfinished,T,T,F,F,T,Bant,Andrea Piparo,Bloomburrow,ZiKsT3k8q0qEohuf__tTFQ,x&frogs,Brighton
Mum Friend,Mabel,mid,0,0,0,0,Unfinished,T,F,F,T,F,Boros,Aurore Folny,Bloomburrow,gz_W3FaxN0SBwCPD7WNPMw,mice,Brighton
Gurl!,Gev,mid,0,0,0,0,Unfinished,F,F,T,T,F,Rakdos,Mark Zug,Bloomburrow,l3Jp1hdwkEmoi6KIv1x3CQ,burn,Brighton
Remember the Ancient,Narset,mid,0,0,0,0,Unfinished,T,T,F,T,F,Jeskai,Kevin Glint,Tarkir,qF7d5s1UsUW4TYWomGDC0w,flashback&spellslinger,Ennepetal
We Are Legion,Brigid,mid,0,0,0,0,Unfinished,T,F,F,F,T,Selesnya,Jesper Ejsing,Lorwyn,RGAlkc0zeU2B4TjHbcpntA,tokens&wide,Brighton
My Turn Now,Maralen,mid,0,0,0,0,Unfinished,F,T,T,F,F,Sultai,Steve Prescott,Lorwyn,NoLOJGMSN0GhZnj7LElZbA,flash&faeries&elves,Ennepetal
Underpainting,Tam,low,0,0,0,0,Unfinished,F,T,F,F,T,Simic,Zoltan Boros,Shandalar,OgX0WvECaEmD1Eosld0y_A,five-colour,Brighton
Gravemasks,Kestia,mid,0,0,0,0,Unfinished,T,T,F,F,T,Bant,Zezhou Chen,Theros,NKnLE6hOfEyM_UQdaZk_vg,enchantress,Brighton
Necromancer Tax Collection,Kotis,mid,0,0,0,0,Unfinished,F,T,T,F,T,Sultai,Evyn Fong,Tarkir,GzdjgFmeUkmypvjmhR8z_A,party,Brighton 
All Bear Everything,Kudo,mid,0,0,0,0,Unfinished,T,F,F,F,T,Selesnya,Peter Diamond,Unknow,rghQdbjR3U6i7iTVu4_jPg,bears,Brighton 
Fear Itself,Tayam&Kaheera,mid,0,0,0,0,Unfinished,T,F,T,F,T,Abzan,Sam Burley&Denis Medri,Ikoria&Ikoria,mQIScsRprE6vxNoucVHiAw,nightmares,Brighton
Tazri Roulette,Tazri,mid,0,0,0,0,Unfinished,T,T,T,T,T,WUBRG,Chris Rahn,Zendikar,y2HsPFqexkOiFgc76DXEjQ,allies,Brighton
The Blind Bandit Returns,Toph,mid,0,0,0,0,Unfinished,F,F,F,T,T,Gruul,Brian Yuen,Beyond,NLKKFMOsGkubDtumXsj3dw,lands,Brighton
Crypt Mode,Yennett,mid,0,0,0,0,Unfinished,T,T,T,F,F,Esper,Chris Rahn,Unknown,sK0VrZx0DkGyL9p-bb4O9A,modal,Brighton
Scaring the Birds Away,Reaper King,mid,1,0,1,0,LGS,T,T,T,T,T,WUBRG,Jim Murray,Lorwyn,DGDM9u5c4kOXeGjDu3HE0w,birds&scarecrows,Brighton
Herculaneum,Quintorius,mid,0,0,0,0,LGS,T,F,F,T,F,Boros,Darren Tan,Arcavios,q9w5T0dUiUScM_BdEtgHmA,spirits&exile,Brighton
Fibonacci Tunes,Rootha,mid,0,0,0,0,Unfinished,F,T,F,T,F,Izzet,Lie Setiawan,Arcavios,w-0UzpUWG0up_RMw46u1-w,spellslinger&storm&tokens,Brighton
